rq,table_name,row_id,column_name,value
RQ1,results-synthesis,DAG,E2A/lite/Cor,16
RQ1,results-synthesis,DAG,E2A/lite/Syn,1
RQ1,results-synthesis,DAG,E2A/lite/Sem,3
RQ1,results-synthesis,DAG,A2A/pro/Unique,20
RQ1,results-synthesis,DAG,A2A/pro/Cor,17
RQ1,results-synthesis,DAG,A2A/pro/Syn,3
RQ1,results-synthesis,DAG,A2A/pro/Sem,0
RQ1,results-synthesis,DAG,A2A/flash/Unique,20
RQ1,results-synthesis,DAG,A2A/flash/Cor,19
RQ1,results-synthesis,DAG,A2A/flash/Syn,1
RQ1,results-synthesis,DAG,A2A/flash/Sem,0
RQ1,results-synthesis,DAG,A2A/lite/Unique,20
RQ1,results-synthesis,DAG,A2A/lite/Cor,16
RQ1,results-synthesis,DAG,A2A/lite/Syn,1
RQ1,results-synthesis,DAG,A2A/lite/Sem,3
RQ1,results-synthesis,Function,E2A/pro/Unique,20
RQ1,results-synthesis,Function,E2A/pro/Cor,20
RQ1,results-synthesis,Function,E2A/pro/Syn,0
RQ1,results-synthesis,Function,E2A/pro/Sem,0
RQ1,results-synthesis,Function,E2A/flash/Unique,20
RQ1,results-synthesis,Function,E2A/flash/Cor,18
RQ1,results-synthesis,Function,E2A/flash/Syn,0
RQ1,results-synthesis,Function,E2A/flash/Sem,2
RQ1,results-synthesis,Function,E2A/lite/Unique,20
RQ1,results-synthesis,Function,E2A/lite/Cor,19
RQ1,results-synthesis,Function,E2A/lite/Syn,1
RQ1,results-synthesis,Function,E2A/lite/Sem,0
RQ1,results-synthesis,Function,A2A/pro/Unique,20
RQ1,results-synthesis,Function,A2A/pro/Cor,19
RQ1,results-synthesis,Function,A2A/pro/Syn,1
RQ1,results-synthesis,Function,A2A/pro/Sem,0
RQ1,results-synthesis,Function,A2A/flash/Unique,20
RQ1,results-synthesis,Function,A2A/flash/Cor,18
RQ1,results-synthesis,Function,A2A/flash/Syn,1
RQ1,results-synthesis,Function,A2A/flash/Sem,1
RQ1,results-synthesis,Function,A2A/lite/Unique,20
RQ1,results-synthesis,Function,A2A/lite/Cor,16
RQ1,results-synthesis,Function,A2A/lite/Syn,2
RQ1,results-synthesis,Function,A2A/lite/Sem,2
RQ1,results-synthesis,Functional,E2A/pro/Unique,20
RQ1,results-synthesis,Functional,E2A/pro/Cor,16
RQ1,results-synthesis,Functional,E2A/pro/Syn,0
RQ1,results-synthesis,Functional,E2A/pro/Sem,4
RQ1,results-synthesis,Functional,E2A/flash/Unique,20
RQ1,results-synthesis,Functional,E2A/flash/Cor,15
RQ1,results-synthesis,Functional,E2A/flash/Syn,0
RQ1,results-synthesis,Functional,E2A/flash/Sem,5
RQ1,results-synthesis,Functional,E2A/lite/Unique,20
RQ1,results-synthesis,Functional,E2A/lite/Cor,11
RQ1,results-synthesis,Functional,E2A/lite/Syn,4
RQ1,results-synthesis,Functional,E2A/lite/Sem,5
RQ1,results-synthesis,Functional,A2A/pro/Unique,20
RQ1,results-synthesis,Functional,A2A/pro/Cor,15
RQ1,results-synthesis,Functional,A2A/pro/Syn,0
RQ1,results-synthesis,Functional,A2A/pro/Sem,5
RQ1,results-synthesis,Functional,A2A/flash/Unique,20
RQ1,results-synthesis,Functional,A2A/flash/Cor,15
RQ1,results-synthesis,Functional,A2A/flash/Syn,0
RQ1,results-synthesis,Functional,A2A/flash/Sem,5
RQ1,results-synthesis,Functional,A2A/lite/Unique,20
RQ1,results-synthesis,Functional,A2A/lite/Cor,12
RQ1,results-synthesis,Functional,A2A/lite/Syn,6
RQ1,results-synthesis,Functional,A2A/lite/Sem,2
RQ1,results-synthesis,Irreflexive,E2A/pro/Unique,20
RQ1,results-synthesis,Irreflexive,E2A/pro/Cor,18
RQ1,results-synthesis,Irreflexive,E2A/pro/Syn,2
RQ1,results-synthesis,Irreflexive,E2A/pro/Sem,0
RQ1,results-synthesis,Irreflexive,E2A/flash/Unique,20
RQ1,results-synthesis,Irreflexive,E2A/flash/Cor,17
RQ1,results-synthesis,Irreflexive,E2A/flash/Syn,3
RQ1,results-synthesis,Irreflexive,E2A/flash/Sem,0
RQ1,results-synthesis,Irreflexive,E2A/lite/Unique,20
RQ1,results-synthesis,Irreflexive,E2A/lite/Cor,18
RQ1,results-synthesis,Irreflexive,E2A/lite/Syn,0
RQ1,results-synthesis,Irreflexive,E2A/lite/Sem,2
RQ1,results-synthesis,Irreflexive,A2A/pro/Unique,20
RQ1,results-synthesis,Irreflexive,A2A/pro/Cor,18
RQ1,results-synthesis,Irreflexive,A2A/pro/Syn,2
RQ1,results-synthesis,Irreflexive,A2A/pro/Sem,0
RQ1,results-synthesis,Irreflexive,A2A/flash/Unique,20
RQ1,results-synthesis,Irreflexive,A2A/flash/Cor,18
RQ1,results-synthesis,Irreflexive,A2A/flash/Syn,2
RQ1,results-synthesis,Irreflexive,A2A/flash/Sem,0
RQ1,results-synthesis,Irreflexive,A2A/lite/Unique,20
RQ1,results-synthesis,Irreflexive,A2A/lite/Cor,15
RQ1,results-synthesis,Irreflexive,A2A/lite/Syn,2
RQ1,results-synthesis,Irreflexive,A2A/lite/Sem,3
RQ1,results-synthesis,Reflexive,E2A/pro/Unique,20
RQ1,results-synthesis,Reflexive,E2A/pro/Cor,20
RQ1,results-synthesis,Reflexive,E2A/pro/Syn,0
RQ1,results-synthesis,Reflexive,E2A/pro/Sem,0
RQ1,results-synthesis,Reflexive,E2A/flash/Unique,20
RQ1,results-synthesis,Reflexive,E2A/flash/Cor,19
RQ1,results-synthesis,Reflexive,E2A/flash/Syn,1
RQ1,results-synthesis,Reflexive,E2A/flash/Sem,0
RQ1,results-synthesis,Reflexive,E2A/lite/Unique,20
